id;sold_price;basketball;weekday;rolling_supply_estimate;bitcoin_closing_price;ethereum_closing_price;seller;seller_feedback_score;card_listing_format_buy_it_now;active_player;card_id;card_grade
2002;1200;1;Sunday;70376;48717.29;1805.08;pwcc_vault;7975;1;0;allen iverson-1996-1;10
2003;60;0;Thursday;104828;57805.12;1826.19;rambomj23;17472;0;1;mike trout-2016-0;10
2004;0.99;0;Sunday;#N/A;35791.28;1230.17;farmerbret;755;0;0;pete rose-1981-0;9
2005;499.95;1;Tuesday;59474;32569.85;1357.06;johnnyandbronny;8919;1;1;bol bol-2019-1;9
2006;238;1;Sunday;64844;38903.44;1614.23;raykasa;4432;0;0;michael jordan-1988-1;9
2007;12.01;0;Sunday;73919;38903.44;1614.23;probstein123;827502;1;0;rick dempsey-1978-0;9
2008;152.5;1;Wednesday;75114;52149.01;1848.46;rfone2007;627;0;1;lebron james-2006-1;10
2009;26.88;0;Sunday;#N/A;35791.28;1230.17;afton9444;2280;0;0;ken griffey-2007-0;9
2010;53;0;Wednesday;110923;58870.89;1823.45;steveyoungsprogear;997;0;1;joey bart-2019-0;10
2011;74;0;Wednesday;88949;52149.01;1848.46;probstein123;827705;0;0;derek jeter-1993-0;8
2012;1324.23;1;Wednesday;68454;44918.18;1744.24;onlygoats;30939;0;0;michael jordan-1997-1;10
2013;2.5;0;Thursday;85953;47909.33;1783.8;battersbox;244823;1;0;duane josephson-1969-0;6
2014;149.99;1;Sunday;68013;59302.32;1854.56;hops1-6;26;0;1;collin sexton-2018-1;9.5
2015;21.5;1;Friday;69496;47504.85;1843.53;denbur_1114;80;0;1;lamelo ball-2020-1;10
2016;34;0;Tuesday;#N/A;54738.94;1678.65;caputoad74;2059;0;1;vladimir guerrero-2017-0;10
2017;324.99;0;Tuesday;88136;49199.87;1781.07;divc03;476;1;1;juan soto-2018-0;10
2018;15;1;Tuesday;66789;46481.1;1768.04;que4987;33;1;0;michael jordan-1990-1;8.5
2019;199.99;1;Friday;67093;48927.3;1533.27;peedeemike;2820;1;0;dominique wilkins-1986-1;7
2020;23.95;0;Friday;#N/A;36825.37;1171.83;saxon18;2215;0;0;lew krausse-1968-0;9
2021;280;0;Sunday;#N/A;35791.28;1230.17;www.707sportscards.com;28096;1;0;jim hegan-1952-0;7
2022;2500;1;Thursday;66712;36926.06;1594.76;pwcc_vault;7925;1;0;kevin garnett-1995-1;10
2023;434;1;Friday;#N/A;36825.37;1171.83;bighitsportscards;64404;0;1;caris levert-2019-1;10
2024;20.74;0;Friday;89605;55888.13;1960.16;msubearfan9;2673;1;0;ken suarez-1972-0;9
2025;19.99;0;Wednesday;67318;35547.75;1382.27;mpro1239;6996;0;0;steve carlton-1967-0;6
2026;41;1;Wednesday;68673;56008.55;1799.17;jagiuf-36;350;0;0;shawn kemp-1990-1;10
2027;12.5;1;Sunday;56886;32289.38;1391.61;4_sharp_corners;294315;0;1;rj barrett-2019-1;9
2028;170.27;1;Sunday;56886;32289.38;1391.61;argmaytee;141889;0;1;kostas antetokounmpo-2018-1;10
2029;399;1;Wednesday;57988;35547.75;1382.27;joeydi78;572;1;1;lebron james-2003-1;10
2030;7.5;0;Sunday;84615;57539.94;1935.6;miccosta_54;329;0;1;jonathan india-2018-0;9
2031;17;0;Tuesday;77245;35510.29;1515.19;lapicia_0;115;1;1;randy arozarena-2020-0;10
2032;499;1;Wednesday;68454;44918.18;1744.24;drbnsn50;544;1;0;karl malone-1986-1;8
2033;300;1;Thursday;66712;36926.06;1594.76;kgsworld285;174;1;1;zion williamson-2019-1;10
2034;64;1;Monday;69723;47945.06;1779.79;holy_smokes_cards;4;0;1;tyler herro-2019-1;10
2035;26;0;Friday;89605;55888.13;1960.16;the.card.chick;397;0;1;aaron judge-2018-0;10
